DATE,TIME,LOCATION_TYPE,OPPONENT,CITY_STATE,VENUE,TOURNAMENT,CONFERENCE_GAME
November 03 2025,,,,,,,
November 06 2025,6 PM,Home,UMBC,College Park MD,XFINITY Center,,No
November 09 2025,1 PM,Home,Georgetown,College Park MD,XFINITY Center,,No
November 13 2025,7 PM,Home,Towson,College Park MD,XFINITY Center,,No
November 16 2025,1 PM,Home,Princeton,College Park MD,XFINITY Center,,No
November 20 2025,,,,,,,
November 23 2025,2:30 PM,Home,George Mason,College Park MD,XFINITY Center,,No
November 26 2025,5:30 PM,Neutral,Kentucky,Carolina Puerto Rico,Discover Puerto Rico Classic,Discover Puerto Rico Classic,No
November 27 2025,3 PM,Neutral,Hofstra,Carolina Puerto Rico,Discover Puerto Rico Classic,Discover Puerto Rico Classic,No
December 03 2025,7 PM,Home,Mount St. Mary's,College Park MD,XFINITY Center,,No
December 07 2025,4 PM,Away,Minnesota,Minneapolis MN,,,Yes
December 10 2025,,,,,,,
December 19 2025,11 AM,Home,Central Connecticut State,College Park MD,XFINITY Center,,No
December 29 2025,4 PM,Home,Wisconsin,College Park MD,XFINITY Center,,Yes
January 01 2026,4 PM,Away,Illinois,Urbana-Champaign IL,,,Yes
January 04 2026,6 PM,Home,Indiana,College Park MD,XFINITY Center,,Yes
January 08 2026,7 PM,Away,Rutgers,Piscataway NJ,,,Yes
January 11 2026,4 PM,Home,Ohio State,College Park MD,XFINITY Center,,Yes
January 15 2026,9 PM,Away,USC,Los Angeles CA,,,Yes
January 18 2026,4 PM,Away,UCLA,Los Angeles CA,,,Yes
January 22 2026,6 PM,Home,Iowa,College Park MD,XFINITY Center,,Yes
January 28 2026,7 PM,Home,Washington,College Park MD,XFINITY Center,,Yes
January 31 2026,5 PM,Home,Oregon,College Park MD,XFINITY Center,,Yes
February 04 2026,6:30 PM,Away,Michigan State,East Lansing MI,,,Yes
February 07 2026,2 PM,Away,Nebraska,Lincoln NE,,,Yes
February 12 2026,7 PM,Home,Penn State,College Park MD,XFINITY Center,,Yes
February 15 2026,2 PM,Away,Ohio State,Columbus OH,,,Yes
February 22 2026,1 PM,Home,Purdue,College Park MD,XFINITY Center,,Yes
February 25 2026,6:30 PM,Home,Northwestern,College Park MD,XFINITY Center,,Yes
February 28 2026,2:30 PM,Away,Michigan,Ann Arbor MI,,,Yes
March 05 2026,9 PM,Neutral,Oregon,Indianapolis IN,Gainbridge Fieldhouse,Big Ten Tournament,Yes
March 20 2026,3 PM,Neutral,Murray State,Chapel Hill NC,,NCAA Tournament,No
March 22 2026,12 PM,Neutral,North Carolina,Chapel Hill NC,,NCAA Tournament,No